CODE_AGENCE,NB_OPS,ACCURACY_SENS,MAE_MONTANT,MONTANT_MOYEN,MAPE
93,281,1.0,15542.113496148644,46078.838227758,33.72866332413954
86,360,0.9972222222222222,18987.436283965937,46729.13318055555,40.63210393730833
900,518,0.9961389961389961,41407.0662515888,106322.67817567568,38.944350837047836
904,122,0.9918032786885246,16446.42404220231,42242.25233606558,38.9326652961354
161,290,0.9862068965517241,13423.432222926172,27689.707517241382,48.47630640917423
201,212,0.9858490566037735,17808.525266809465,40632.02117924528,43.827716349838596
10,226,0.9823008849557522,14704.44103373759,28402.09326548673,51.77056208735302
223,355,0.9802816901408451,17363.37976192294,55179.10553521127,31.466738951492406
67,468,0.9786324786324786,27095.766614061864,75116.03607692309,36.07140008335077
188,411,0.9781021897810219,13763.992844292725,32134.13023844282,42.83160747183482
7,454,0.973568281938326,20785.79850180353,56342.34294713656,36.891312113492354
147,453,0.9690949227373068,21706.839515645406,61758.96274613686,35.1471059088409
21,386,0.9689119170984456,29934.252030552245,79915.10315544042,37.45709669092445
129,502,0.9681274900398407,14935.149593736167,38306.20539243028,38.98783385719762
45,550,0.9672727272727273,28091.464493152074,84039.5266090909,33.42609289422675
219,389,0.9640102827763496,12703.570213908299,36504.418822622116,34.79913564513331
58,549,0.9635701275045537,14992.235197470545,45279.64635154827,33.1095874406791
111,398,0.9623115577889447,32328.151963020246,80492.25913065327,40.16255809762473
80,287,0.9616724738675958,17952.453702243114,45282.524198606276,39.644559516848844
8,467,0.961456102783726,19277.54216493547,63473.29411563169,30.37062866712216
14,454,0.960352422907489,28595.282563415556,82186.34418281938,34.79280520344783
3,421,0.9596199524940617,27461.356942644023,52120.03523752969,52.687665963454435
18,563,0.9591474245115453,21327.314514444028,65231.47261456484,32.69432179960346
235,285,0.9578947368421052,49300.310637633054,81437.58111578948,60.53679958831528
77,470,0.9574468085106383,72100.25215990686,115152.46902765956,62.61231447798464
65,408,0.9558823529411765,31120.916033055277,89211.35057598038,34.88408929047353
107,451,0.9556541019955654,32233.928288275438,65172.672942350335,49.45851113345738
15,470,0.9553191489361702,19544.55864885932,63899.43942553191,30.585953437199905
130,443,0.9548532731376975,50040.35385774692,98705.60933860045,50.69605185817888
11,497,0.9537223340040242,26753.77920984316,77575.79513279679,34.48683225962835
57,364,0.9532967032967034,27828.030144145734,101151.30171978021,27.51102018542006
151,471,0.9532908704883227,18717.669299069254,54017.9533566879,34.650188750374745
133,427,0.9531615925058547,10869.090997948068,33245.93729976581,32.692006785312614
26,488,0.9528688524590164,25035.02527920104,73152.66534836066,34.22251661619859
82,443,0.9525959367945824,16111.080750301922,42160.00693002257,38.21322573496063
51,506,0.9525691699604744,23686.434553251645,82029.64821343873,28.875103475497344
232,440,0.9522727272727273,50477.7901206916,88884.40706136361,56.78973837161298
226,398,0.9522613065326633,25672.411167469392,63766.06113316583,40.25967436990277
135,393,0.9516539440203562,21654.451903824764,65537.55325445293,33.04078413167212
40,408,0.9509803921568627,29463.973924115497,76689.93713235293,38.419107949178766
128,468,0.9508547008547008,22100.701581283847,68011.3461431624,32.49513189085263
168,486,0.9506172839506173,13656.850452670596,44060.32192592593,30.995099229273986
0,425,0.9505882352941176,11846.387108346093,35762.2900282353,33.12443317992643
189,526,0.9505703422053232,21631.3522212884,41045.78307984791,52.6992631291206
55,403,0.9503722084367245,25199.768765710036,70043.48479156327,35.97680651188872
13,459,0.9498910675381264,26882.684918132167,84572.42958387801,31.78620643670425
16,438,0.9497716894977168,33081.7340086626,90478.98878310501,36.56248685879571
156,435,0.9494252873563218,59208.70075826515,125042.37956781608,47.350528243003765
63,276,0.9492753623188406,18236.938353048852,47980.1217826087,38.008570194911606
108,433,0.9491916859122402,38290.854138938106,75679.20845265589,50.59559813830605
12,393,0.9491094147582697,33818.34669243976,102846.33967430025,32.88208212243177
37,451,0.9490022172949002,27572.277933483547,74794.65807760532,36.86347395309435
66,430,0.9488372093023256,26131.937107037633,56521.34653488371,46.23293035244011
120,566,0.9487632508833922,22258.10431075625,67852.51533745583,32.80317047696062
113,468,0.9487179487179487,21562.01773028677,73344.83213247864,29.39774095321605
171,561,0.948306595365419,17319.189171553993,42500.974670231735,40.749140024508804
35,385,0.948051948051948,11431.666154858052,33816.82024935065,33.80367531250793
29,403,0.9478908188585607,33948.067676301456,108644.76099007446,31.246564400614623
157,468,0.9465811965811965,15989.973847170855,43822.66116666667,36.48707894659704
123,505,0.9465346534653465,13959.48727426045,37538.41590495049,37.18621331137854
5,408,0.946078431372549,21821.897181078995,69873.10251470588,31.23030764722352
222,532,0.9454887218045113,29728.895562134818,74421.10888533834,39.94632241332738
94,550,0.9454545454545454,26670.38808435818,80744.24616181818,33.03028890506961
43,474,0.9451476793248945,17745.28316307863,56877.49899367089,31.19857850864388
138,451,0.9445676274944568,20770.067628706292,69786.51783592018,29.76186612273488
142,523,0.9445506692160612,52883.59037254845,91752.77628107074,57.63641837535858
197,521,0.944337811900192,15347.788221458273,51432.23868714011,29.840213475212657
139,485,0.9443298969072165,34616.160261355144,83012.52063298969,41.69942437979029
31,446,0.9439461883408071,38816.52939297789,108854.38647533633,35.65880444673508
50,534,0.9438202247191011,30681.390560917924,94407.93877528088,32.498395765201884
38,373,0.9436997319034852,21511.203894363116,57718.76139142091,37.26835207873954
9,444,0.9436936936936937,21049.80282110953,67218.75128378379,31.31490732871489
119,354,0.943502824858757,15060.992332133837,40246.75901412429,37.420697949539075
122,406,0.9433497536945813,34424.81983143786,94658.62684482758,36.36695070419973
114,439,0.9430523917995444,19531.283190930706,52178.4027403189,37.43102098759542
62,455,0.9428571428571428,49797.920022613296,122404.02245934067,40.68290583350425
52,433,0.9422632794457275,18947.31611521385,50765.73715935335,37.32230427915725
116,413,0.9418886198547215,18318.08954917117,53862.982285714286,34.00804911156646
106,492,0.9410569105691057,14074.449837476714,41537.33391260163,33.88303889869521
187,423,0.9408983451536643,22237.11544968654,61561.244550827425,36.12135264387085
125,572,0.9405594405594405,18327.867388654933,50254.93319405594,36.46906190734644
41,521,0.9404990403071017,36842.72765223094,120438.87809596927,30.590140271375738
179,334,0.9401197604790419,13102.305165145794,37953.609167664676,34.52098559957842
75,481,0.9397089397089398,15893.03373849855,47837.185355509355,33.222484549506866
2,464,0.9396551724137931,35084.663164069345,87174.4292974138,40.246045757196164
28,427,0.9391100702576113,21985.765977864587,64097.254669789225,34.30010082353602
54,443,0.9390519187358917,26322.84575510312,70049.89121670429,37.57674641664829
49,457,0.9387308533916849,22851.21756421069,69492.23057768053,32.882652560909904
17,423,0.9385342789598109,25932.66154864942,81556.99206146572,31.796591472121357
46,402,0.9378109452736318,84944.79896874265,139581.60098507462,60.856294673736365
181,465,0.9376344086021505,17326.43139725039,53820.36594193549,32.19247801317937
145,509,0.93713163064833,24990.670304622538,55402.54899214145,45.10662359945076
102,489,0.9366053169734151,27124.878743987425,71510.24687730061,37.930926852007545
172,473,0.9365750528541226,21741.103300636976,55505.856911205075,39.168319934628
34,345,0.936231884057971,20726.995498612283,46496.19075362318,44.57687693099434
144,328,0.9359756097560976,43817.42828691145,77368.01230182927,56.63433845577922
19,434,0.9354838709677419,25145.62048089001,78707.26081105991,31.94787970382469
47,447,0.9351230425055929,20023.645362748885,54336.860400447425,36.850264650067096
178,428,0.9345794392523364,27422.53594743245,66969.83188317757,40.94698419644497
166,366,0.9344262295081968,23631.7798052922,50773.270540983605,46.54282484711872
154,396,0.9343434343434344,12617.862032651863,34309.92098989899,36.77506073464632
96,394,0.934010152284264,35771.368419765946,102850.2877005076,34.77969913602686
192,439,0.9339407744874715,19438.921709347163,57508.86708200456,33.80102006083371
109,514,0.933852140077821,39042.06392542804,100246.0003307393,38.94586750388415
27,455,0.9318681318681319,28753.456060615437,66600.79033626373,43.1721968965744
32,584,0.9315068493150684,24487.561719807378,69383.60700171233,35.29249898209131
53,467,0.9314775160599572,29131.57307104714,102958.0351391863,28.29433379175058
196,466,0.9313304721030042,22230.99396104338,55987.11438412017,39.7066309619256
185,465,0.9311827956989247,15815.458000364768,40261.53140430107,39.28083369014217
176,433,0.930715935334873,40972.50657121,99614.1334364896,41.13080528806633
159,446,0.9304932735426009,20367.673528092564,68769.23715695068,29.61698893317541
165,374,0.93048128342246,22102.987125740663,56964.306419786095,38.800786855880936
6,402,0.9303482587064676,11158.284660073303,37252.2659800995,29.952500449313625
33,502,0.9302788844621513,79387.42532055604,171330.27058565736,46.33563099671648
97,457,0.9299781181619255,18283.81246814372,62735.41920131291,29.143857269687917
73,414,0.9299516908212561,14296.34141759664,39682.83261352657,36.02560659104185
149,385,0.9298701298701298,21861.038936020526,56270.10918441559,38.849490000945266
56,466,0.9291845493562232,18935.098682150623,53210.3197639485,35.58471912771359
69,480,0.9291666666666667,20716.759087294387,59848.54666458334,34.614730172306835
233,450,0.9288888888888889,16340.707807023367,48678.843440000004,33.5677082182156
59,435,0.9287356321839081,19905.214149849933,72963.60299770115,27.280644767541702
136,475,0.9284210526315789,25193.89451293307,75860.34206736842,33.21045189335
118,516,0.9282945736434108,24236.299201903188,73633.64053875969,32.91426294007061
101,500,0.928,16029.667653825927,39488.515719999996,40.59221127826464
200,527,0.9278937381404174,13986.089055606804,30588.817846299808,45.72138718144928
153,374,0.9278074866310161,12320.63376053436,35369.165566844924,34.83340709064535
64,374,0.9278074866310161,26825.7411122443,63932.935828877,41.95853229503186
110,484,0.9276859504132231,21770.551473660194,59764.0752892562,36.42687868841993
163,358,0.9273743016759777,29005.43097596114,91441.19860055865,31.719962358586525
112,452,0.9269911504424779,17695.6131816728,50197.90987168141,35.250990961569435
103,397,0.9269521410579346,18875.634818271308,57980.25443324937,32.554719629258436
124,437,0.9267734553775744,22080.595028492346,59170.272535469114,37.31641062013082
174,391,0.9258312020460358,18204.218237721416,52328.075478260864,34.78796074905626
121,402,0.9253731343283582,12258.302282532888,30691.453335820897,39.9391412227915
22,480,0.925,63722.14811828339,188523.8021375,33.800405779929065
61,490,0.9244897959183673,33938.153151617276,85096.98341020408,39.881266031913704
60,436,0.9243119266055045,22548.27427329814,77075.9967477064,29.25422009773508
158,405,0.9234567901234568,22860.441879513328,65246.429066666664,35.036540453043195
68,428,0.9228971962616822,26646.220102987114,72293.80765186917,36.85772321478496
150,363,0.9228650137741047,12452.0065432555,29774.551898071626,41.81956588372066
70,337,0.9228486646884273,18322.47373505105,44795.81248664689,40.901288993525256
79,349,0.9226361031518625,21279.88112395532,46691.67080515759,45.57434980053611
104,503,0.9224652087475149,14365.758922982068,42055.82208151093,34.15797535805151
221,490,0.9224489795918367,41419.51370552849,118127.87155918367,35.06298939355983
74,296,0.9222972972972973,14017.863669172004,31356.6348445946,44.70319186585078
162,404,0.9207920792079208,14107.328217588707,39953.771898514846,35.30824366466497
234,441,0.9206349206349206,35968.778510294105,97100.8039138322,37.04233810343284
48,453,0.9205298013245033,35686.76980734889,108275.99806401767,32.95877281918127
175,415,0.9204819277108434,21311.557936919024,51504.482821686746,41.377260767946126
131,440,0.9204545454545454,31506.029684619665,84342.78089772727,37.35430087349645
126,408,0.9191176470588235,35074.046349790944,75545.92931862746,46.42683252136206
25,420,0.919047619047619,30078.037946154174,94217.24414047618,31.923793762605946
115,456,0.918859649122807,30310.818316971312,43766.750497807014,69.25377240598655
146,379,0.9182058047493403,20468.70757138915,48670.01440369393,42.0552310695946
198,426,0.9178403755868545,16994.48057602893,39554.325424882634,42.963824449636306
141,374,0.9171122994652406,25057.517549330772,47882.66250802139,52.32999364894692
132,371,0.9164420485175202,38102.61681216269,92832.12225606469,41.04420479046581
39,359,0.9164345403899722,44039.45354332423,112659.10453481894,39.09054915683423
4,347,0.9164265129682997,19935.03080124335,52661.591066282424,37.85425365066567
20,404,0.9158415841584159,26342.376434064732,69145.05875990099,38.09671426904397
228,484,0.9152892561983471,33322.97738030148,71509.21351239669,46.59890628703655
169,373,0.9142091152815014,22707.64009065058,65496.92886327078,34.66924906595683
193,394,0.9137055837563451,17069.243631296427,37123.117898477154,45.978853094841114
231,392,0.9132653061224489,65615.39091632268,117081.1086505102,56.042201214691524
190,412,0.912621359223301,28408.68045554385,70869.07250242718,40.08558119447515
36,399,0.9122807017543859,19891.434759263153,57708.43693233083,34.46825305640659
23,360,0.9111111111111111,34257.56348922397,98536.2096861111,34.766118909141994
24,382,0.9109947643979057,16918.04526161521,62048.17773036649,27.265543042539985
143,403,0.9106699751861043,18770.235665796812,44024.74501736972,42.63468036348115
30,364,0.9093406593406593,15416.43200263478,33148.3177032967,46.50603110634044
182,417,0.9088729016786571,22047.18389798376,48352.35595683453,45.59597459515628
177,434,0.9078341013824884,19704.609993914797,54873.38588479263,35.90857496844543
117,503,0.9065606361829026,20947.33566893542,60577.17249304175,34.57901552137697
155,403,0.9057071960297767,23656.98188738334,59265.01262034739,39.91660791983389
167,439,0.9043280182232346,19491.139781187743,60100.66683826879,32.430281565464114
218,368,0.9021739130434783,15575.61120311546,41280.04306521739,37.730662906236425
217,347,0.9020172910662824,41002.01237204213,62991.45301729107,65.09035671429928
78,264,0.9015151515151515,15777.064671402943,27970.57130681818,56.403927038439996
44,321,0.9003115264797508,10531.523037757848,25973.2274953271,40.546049116003644
127,383,0.8955613577023499,16371.316895428094,39444.53365013055,41.503600992286
134,360,0.8944444444444445,16301.967072791203,49129.809474999995,33.18074187457952
164,354,0.8926553672316384,24514.43922148423,69565.16292372881,35.23902741101511
72,317,0.886435331230284,11814.984434707108,35514.989794952686,33.26666243266626
1,332,0.8674698795180723,18101.477608813184,44135.05352710843,41.0129047847362
137,326,0.8650306748466258,17148.789638138238,40404.34894478527,42.441879815398714
705,26,0.8076923076923077,50251.48174579328,146479.23076923078,34.30598209867715
702,46,0.8043478260869565,69058.13671875,253403.47826086957,27.252137449464275
701,52,0.7884615384615384,83644.68866436297,210358.84615384616,39.76266868116534
700,47,0.7659574468085106,106073.41701296551,247399.14893617024,42.875243797986826
704,34,0.7647058823529411,8378.993910845598,66728.82352941176,12.556595338743076
99,60,0.7333333333333333,1019752.2534210206,1201674.6,84.8608604036747
703,38,0.7105263157894737,44528.42846679689,128291.57894736844,34.708498988912304
